Success : LS : test1\c5a5e5562b038073\,0:-1,2016-12-12 11:45:37-247,2016-12-12 11:45:37-309
Fail : LS : test1,0:-1,2016-12-12 11:45:37-386,2016-12-12 11:45:37-386
Reason : java.lang.StringIndexOutOfBoundsException: String index out of range: -2
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:45:37-460,2016-12-12 11:45:37-581
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:45:37-704,2016-12-12 11:45:37-790
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\40BDB6A3217AAA8C,0:3713994,2016-12-12 11:45:37-867,2016-12-12 11:45:41-478
Success : SEQ_READ : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\178db47a574c645f,0:257,2016-12-12 11:45:41-601,2016-12-12 11:45:41-704
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:45:41-816,2016-12-12 11:45:41-903
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\4615B7814B201623,0:3471888,2016-12-12 11:45:41-994,2016-12-12 11:45:45-535
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:45:45-664,2016-12-12 11:45:45-790
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\3D157B325F69114E,0:894526,2016-12-12 11:45:45-915,2016-12-12 11:45:46-614
Success : LS : test2\a94a8fe5ccb19ba6\2a5bd02710e975a7\,0:-1,2016-12-12 11:45:46-739,2016-12-12 11:45:46-823
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\6A2BFD13668CEEAB,0:1526793,2016-12-12 11:45:46-929,2016-12-12 11:45:48-244
Success : LS : test2\a94a8fe5ccb19ba6\,0:-1,2016-12-12 11:45:48-367,2016-12-12 11:45:48-487
Success : CREATE_FILE : test2\a94a8fe5ccb19ba6\10461DE86B1BEEE5,0:4003172,2016-12-12 11:45:48-663,2016-12-12 11:45:52-732
Success : LS : test1\c5a5e5562b038073\a39ea9c72a98de10\,0:-1,2016-12-12 11:45:52-856,2016-12-12 11:45:52-930
Success : LS : test1\f71b43c3136efa4f\9f93e73d6896cb7b\,0:-1,2016-12-12 11:45:53-005,2016-12-12 11:45:53-105
